S5-CLM-00003486	Arxiv.«0912.2382».curling_number_conjecture	The sequence will eventually reach $1$.	(S₀ : List ℤ) (h : S₀ ≠ []) : ∃ m, k (S S₀ m) = 1
S5-CLM-00005267	LehmerMahlerMeasureProblem.lehmer_mahler_measure_problem	Let `M(f)` denote the Mahler measure of `f`. There exists a constant `μ>1` such that for any `f(x)∈ℤ[x], M(f)>1 → M(f)≥μ`.	:     ∃ μ : ℝ, ∀ f : ℤ[X],       μ > 1 ∧ (mahlerMeasureZ f > 1 → mahlerMeasureZ f ≥ μ)
S5-CLM-00005268	LehmerMahlerMeasureProblem.lehmer_mahler_measure_problem.variants.best	`μ=M(X^10 + X^9 - X^7 - X^6 - X^5 - X^4 - X^3 + X + 1)` is the best value for `lehmer_mahler_measure_problem`.	(f : ℤ[X])     (hf : mahlerMeasureZ f > 1) : mahlerMeasureZ f ≥ mahlerMeasureZ lehmerPolynomial
S5-CLM-00005276	Lemoine.lemoine_conjecture	For all odd integers $n ≥ 7$ there are prime numbers $p,q$ such that $n = p+2q$.	(n : ℕ) (hn : 6 < n) (odd : Odd n) :     ∃ (p q : ℕ), p.Prime ∧ q.Prime ∧ p + 2 * q = n
S5-CLM-00005277	Lemoine.lemoine_conjecture_extension	For all odd integers $n ≥ 9$ there are odd prime numbers $p,q,r,s$ and natural numbers $a,b$ such that $p+2q = n$, $2+pq = 2^a+r$, $2p+q = 2^b+s$	(n : ℕ) (hn : 8 < n) (odd : Odd n) :     ∃ (p q r s a b : ℕ), OddPrime p ∧ OddPrime q ∧ OddPrime r ∧ OddPrime s ∧     p + 2 * q = n ∧ 2 + p * q = 2 ^ a + r ∧ 2 * p + q = 2 ^ b + s
S5-CLM-00005278	LittlewoodConjecture.littlewood_conjecture	For any two real numbers $\alpha$ and $\beta$, $$   \liminf_{n\to\infty} n\||n\alpha\||\||n\beta\|| = 0 $$ where $\||x\|| := \min(|x - \lfloor x \rfloor|, |x - \lceil x \rceil|)$ is the distance to the nearest integer.	(α β : ℝ) :     atTop.liminf (fun (n : ℕ) ↦ n * distToNearestInt (n * α) * distToNearestInt (n * β)) = 0
S5-CLM-00005279	LittlewoodConjecture.padic_littlewood_conjecture	For real number $\alpha$ and prime $p$, $$   \liminf_{n \to\infty} n |n|_{p}\||n\alpha\|| = 0 $$ where $\||x\|| := \min(|x - \lfloor x \rfloor|, |x - \lceil x \rceil|)$ is the distance to the nearest integer, and $|x|_{p}$ is the $p$-adic norm.	(α : ℝ) (p : ℕ) (hp : p.Prime) :     atTop.liminf (fun (n : ℕ) ↦ n * padicNorm p n * distToNearestInt (n * α)) = 0
S5-CLM-00005280	LonelyRunnerConjecture.lonely_runner_conjecture	Consider $n$ runners on a circular track of unit length. At the initial time $t = 0$, all runners are at the same position and start to run; the runners' speeds are constant, all distinct, and may be negative. A runner is said to be lonely at time $t$ if they are at a distance (measured along the circle) of at least $\frac 1 n$ from every other runner. The lonely runner conjecture states that each runner is lonely at some time, no matter the choice of speeds.	(n : ℕ)     (speed : Fin n ↪ ℝ) (lonely : Fin n → ℝ → Prop)     (lonely_def :       ∀ r t, lonely r t ↔         ∀ r2 : Fin n, r2 ≠ r →         dist (t * speed r : UnitAddCircle) (t * speed r2) ≥ 1 / n)     (r : Fin n) : ∃ t ≥ 0, lonely r t
S5-CLM-00005286	Mahler32.mahler_conjecture	The **Mahler Conjecture** states that there are no non-zero Z-numbers.	(x : ℝ) (h : x ≠ 0) (hx : IsZNumber x) : False
S5-CLM-00005288	Mandelbrot.MLC	The MLC conjecture, stating that the mandelbrot set is locally connected.	: LocallyConnectedSpace mandelbrotSet
S5-CLM-00005289	Mandelbrot.MLC_general_exponent	A stronger version of the MLC conjecture, stating that all multibrots are locally connected. Note that we don't need to require `2 ≤ n` because the conjecture holds in the trivial cases `n = 0` and `n = 1` too.	(n : ℕ) : LocallyConnectedSpace (multibrotSet n)
S5-CLM-00005290	Mandelbrot.density_of_hyperbolicity	The density of hyperbolicity conjecture, stating that the set of all parameters `c` for which `fun z ↦ z ^ 2 + c` has an attracting cycle is dense in the Mandelbrot set.	:     mandelbrotSet ⊆ closure {c | ∃ m z, IsAttractingCycle (fun z ↦ z ^ 2 + c) m z}
S5-CLM-00005291	Mandelbrot.density_of_hyperbolicity_general_exponent	The density of hyperbolicity conjecture for Multibrot sets, stating that the set of all parameters `c` for which `fun z ↦ z ^ n + c` has an attracting cycle is dense in `multibrotSet n`. Note that we need to require `2 ≤ n` because the conjecture is trivially false for `n = 1`.	{n : ℕ} (hn : 2 ≤ n) :     multibrotSet n ⊆ closure {c | ∃ m z, IsAttractingCycle (fun z ↦ z ^ n + c) m z}
S5-CLM-00005292	Mandelbrot.volume_frontier_mandelbrotSet_eq_zero	The boundary of the Mandelbrot set is conjectured to have zero area.	: volume (frontier mandelbrotSet) = 0
S5-CLM-00005293	Mandelbrot.volume_frontier_multibrotSet_eq_zero	The boundary of any Multibrot set is conjectured to have zero area. Note that we don't need to exclude the trivial cases `n = 0` and `n = 1` because the conjecture holds for them.	{n : ℕ} : volume (frontier (multibrotSet n)) = 0
S5-CLM-00005296	Mersenne.new_mersenne_conjecture	For any odd natural number `p` if two of the following conditions hold, then all three must hold: 1. $2^p-1$ is prime 2. $(2^p+1)/3$ is prime 3. Exists a number `k` such that $p = 2^k \\pm 1$ or $p = 4^k \\pm 3$	(p : ℕ) (hp : Odd p) :     NewMersenneConjectureStatement p
S5-CLM-00005297	Mersenne.new_mersenne_conjecture.variants.prime	The New Mersenne Conjecture statement holds for odd primes.	(p : ℕ) (hp : p.Prime) (h : Odd p) :     NewMersenneConjectureStatement p
S5-CLM-00005317	NormalNumber.pi_normal_base_ten	$\pi$ is normal in base 10.	: IsNormalInBase 10 π
S5-CLM-00005318	Oppermann.oppermann_conjecture	**Oppermann's Conjecture**: For every integer $x \ge 2$, the following hold: - There exists a prime between $x(x-1)$ and $x^2$. - There exists a prime between $x^2$ and $x(x+1)$.	(x : ℕ) (hx : 2 ≤ x) :     (∃ p ∈ Ioo (x * (x - 1)) (x^2), p.Prime) ∧     (∃ p ∈ Ioo (x^2) (x * (x + 1)), p.Prime)
S5-CLM-00005320	Oppermann.oppermann_conjecture.parts.i	For every integer $x \ge 2$ there exists a prime between $x(x-1)$ and $x^2$.	(x : ℕ) (hx : 2 ≤ x) :     ∃ p ∈ Ioo (x * (x - 1)) (x^2), p.Prime
S5-CLM-00005321	Oppermann.oppermann_conjecture.parts.ii	For every integer $x \ge 2$ there exists a prime between $x^2$ and $x(x+1)$.	(x : ℕ) (hx : 2 ≤ x) :     ∃ p ∈ Ioo (x^2) (x * (x + 1)), p.Prime
S5-CLM-00005322	PebblingNumberConjecture.pebbling_number_conjecture	The pebbling number conjecture: the pebbling number of a Cartesian product of connected graphs is at most equal to the product of the pebbling numbers of the factors. See [Asplund, Hurlbert, and Kenter](https://arxiv.org/abs/1801.07808).	{W : Type} [Fintype V] [Fintype W] [DecidableEq W]     (G : SimpleGraph V) (H : SimpleGraph W) (hG : G.Connected) (hH : H.Connected) :     PebblingNumber (G □ H) ≤ PebblingNumber G * PebblingNumber H
S5-CLM-00005323	PellNumbers.infinite_pellNumber_primes	There are infinitely many prime Pell numbers	: Infinite {n : ℕ | Prime (pellNumber n)}
S5-CLM-00005328	PerfectNumbers.odd_perfect_number_conjecture	**Odd Perfect Number Conjecture.** The Odd Perfect Number Conjecture states that all perfect numbers are even.  *Reference:* [Wikipedia](https://en.wikipedia.org/wiki/Perfect_number#Odd_perfect_numbers)	(n : ℕ) (hn : Perfect n) : Even n
S5-CLM-00005329	PierceBirkhoff.pierce_birkhoff_conjecture	The Pierce-Birkhoff conjecture states that for every real piecewise-polynomial function `f : ℝⁿ → ℝ`, there exists a finite set of polynomials `gᵢⱼ ∈ ℝ[x₁, ..., xₙ]` such that `f = supᵢ infⱼ(gᵢⱼ)`.	{n : ℕ} (f : (Fin n → ℝ) → ℝ)     (hf : IsPiecewiseMvPolynomial f) :     ∃ (ι κ : Type) (g : ι → κ → MvPolynomial (Fin n) ℝ), Finite ι ∧ Finite κ ∧       ∀ x, f x = ⨆ i, ⨅ j, MvPolynomial.eval x (g i j)
S5-CLM-00005332	PierpontPrime.infinitely_many_pierpont_primes	There are infinitely many Pierpont primes.	:     Set.Infinite {p : ℕ | IsPierpontPrime p}
S5-CLM-00005333	PollocksConjecture.pollock_tetrahedral	Pollock's (tetrahedral numbers) conjecture: every integer is the sum of at most $5$ tetrahedral numbers.	(N : ℕ) :     ∃ f : Fin 5 → ℕ, N = ∑ i, tetrahedral (f i)
S5-CLM-00005334	PollocksConjecture.pollock_tetrahedral.salzer_levine	Salzer–Levine strengthening (as stated on Wikipedia/OEIS): there are exactly $241$ integers that are not a sum of $4$ tetrahedral numbers, and the largest is $343867$.	:     IsGreatest NotSumOfFourTetrahedral 343867
S5-CLM-00005336	PompeiuProblem.not_hasPompeiuProperty_imp_ball	The hard direction, the open part of the Pompeiu problem: any admissible domain lacking the Pompeiu property must be a ball.	(Ω : Set (EuclideanSpace ℝ (Fin (N + 1))))     (hΩ : IsAdmissibleDomain Ω) (h : ¬ HasPompeiuProperty Ω) :     IsBall Ω
S5-CLM-00005337	PompeiuProblem.pompeiu_conjecture	**Pompeiu's conjecture.** A bounded, simply connected domain in $\mathbb{R}^{N+1}$ with Lipschitz boundary fails to have the Pompeiu property if and only if it is a Euclidean ball. Equivalently, the ball is the unique such domain without the Pompeiu property.	(Ω : Set (EuclideanSpace ℝ (Fin (N + 1))))     (hΩ : IsAdmissibleDomain Ω) :     ¬ HasPompeiuProperty Ω ↔ IsBall Ω
S5-CLM-00005341	RamanujanTau.lehmer_ramanujan_tau	Lehmer's conjecture: $\tau(n) \ne 0$ for all $n > 0$.	: ∀ n > 0, τ n ≠ 0
S5-CLM-00005348	RegularPrimes.regularprime_conjecture	Conjecture: The set of regular primes is infinite.	: RegularPrimeConjecture
S5-CLM-00005351	RiemannZetaValues.irrational_eleven	$\zeta(11)$ is irrational.	: ∃ x, Irrational x ∧ riemannZeta 11 = x
S5-CLM-00005352	RiemannZetaValues.irrational_five	$\zeta(5)$ is irrational.	: ∃ x, Irrational x ∧ riemannZeta 5 = x
S5-CLM-00005353	RiemannZetaValues.irrational_nine	$\zeta(9)$ is irrational.	: ∃ x, Irrational x ∧ riemannZeta 9 = x
S5-CLM-00005354	RiemannZetaValues.irrational_odd	$\zeta(2n + 1)$ is irrational for any $n\in\mathbb{N}^{+}$.	(n : ℕ) (hn : 0 < n) :     ∃ x, Irrational x ∧ riemannZeta (2 * n + 1) = x
S5-CLM-00005355	RiemannZetaValues.irrational_seven	$\zeta(7)$ is irrational.	: ∃ x, Irrational x ∧ riemannZeta 7 = x
S5-CLM-00005357	RudinsConjecture.rudins_conjecture	**Rudin's conjecture.** The maximal number of squares among the first $N$ terms of a non-trivial arithmetic progression grows at most like $\sqrt{N}$: $$Q(N) = O(\sqrt{N}).$$	:     (fun N : ℕ => (Qmax N : ℝ)) =O[atTop] fun N : ℕ => Real.sqrt N
S5-CLM-00005358	RudinsConjecture.rudins_conjecture_strong	A stronger form of Rudin's conjecture: for every $N \ge 6$, the arithmetic progression $24 n + 1$ attains the maximum $Q(N)$.	(N : ℕ) (hN : 6 ≤ N) : Q N 24 1 = Qmax N
S5-CLM-00005359	RudinsConjecture.rudins_conjecture_unique	The strongest form of Rudin's conjecture also asserts *uniqueness*: for $N \ge 6$, any non-trivial arithmetic progression attaining the maximum $Q(N)$ has common difference $24$. (Its initial term is then forced by $\gcd(24, a) = 1$; the progression $24n + 1$ is the canonical representative.)	(N : ℕ) (hN : 6 ≤ N) (q a : ℕ)     (hqa : IsNontrivial q a) (hmax : Q N q a = Qmax N) : q = 24
S5-CLM-00005360	Schanuel.schanuel_conjecture	Given any set of $n$ complex numbers $\{z_1, ..., z_n\}$ that are linearly independent over $\mathbb{Q}$, the field extension $\mathbb{Q}(z_1, ..., z_n, e^{z_1}, ..., e^{z_n})$ has transcendence degree at least $n$ over $\mathbb{Q}$.	(n : ℕ) (z : Fin n → ℂ) (h : LinearIndependent ℚ z) :     n ≤ Algebra.trdeg ℚ (adjoin ℚ (Set.range z ∪ Set.range (cexp ∘ z)))
S5-CLM-00005361	Schinzel.schinzel_conjecture	**Schinzel conjecture (H hypothesis)** If a finite set of polynomials $f_i$ satisfies both Schinzel and Bunyakovsky conditions, there exist infinitely many natural numbers $n$ such that $f_i(n)$ are primes for all $i$.	(fs : Finset ℤ[X]) (hfs : ∀ f ∈ fs, BunyakovskyCondition f)     (hfs' : SchinzelCondition fs) : Infinite {n : ℕ | ∀ f ∈ fs, (f.eval (n : ℤ)).natAbs.Prime}
S5-CLM-00005363	Selfridge.selfridge_conjecture	**PSW conjecture** (Selfridge's test) Let $p$ be an odd number, with $p \equiv \pm 2 \pmod{5}$, $2^{p-1} \equiv 1 \pmod{p}$ and $F_{p+1} \equiv 0 \pmod{p}$, then $p$ is a prime number.	(p : ℕ) (hp : IsSelfridge p) : p.Prime
S5-CLM-00005364	Selfridge.selfridge_seq_conjecture	Selfridge conjectured that the number of prime factors of the `n`-th Fermat number does not grow monotonically in $n$.	: ¬ Monotone fermatFactors
S5-CLM-00005365	Sendov.sendov_conjecture	**Sendov's conjecture** states that for a polynomial $$f(z)=(z-r_{1})\cdots (z-r_{n}),\qquad (n\geq 2)$$ with all roots $r_1, ..., r_n$ inside the closed unit disk $|z| ≤ 1$, each of the $n$ roots is at a distance no more than $1$ from at least one critical point.	(n : ℕ) (hn : 2 ≤ n) : n.SatisfiesSendovConjecture
S5-CLM-00005377	Singmaster.singmaster	Singmaster's conjecture: the number of times any number $t > 1$ appears in Pascal's triangle is bounded.	: ∃ (C : ℕ), ∀ (t : ℕ), t > 1 →     (Singmaster.solutions t).Finite ∧ (Singmaster.solutions t).ncard ≤ C
S5-CLM-00005386	SparseRuler.wichmann_conjecture	**Wichmann's conjecture on optimal rulers.** Every optimal ruler with more than $13$ segments is a Wichmann ruler $W(r, s)$ (up to reflection, i.e. reversing the segment list). Posed by Wichmann [Wi63]; the finitely many known exceptions all have at most $13$ segments (lengths $1, 13, 17, 23, 58$), and no further exceptions are known up to length $213$.	{g : List ℕ} (hopt : IsOptimal g) (hseg : 13 < g.length) :     ∃ r s : ℕ, g = wichmannGaps r s ∨ g = (wichmannGaps r s).reverse
S5-CLM-00005398	Superperfect.twoFivePerfect	There does not exist a $(2,5)$-perfect number	: ¬ ∃ n, PerfectFor n 2 5
S5-CLM-00005399	GottschalkSurjunctivity.gottschalk_surjunctivity_conjecture	**Gottschalk's surjunctivity conjecture** (1973): every group is surjunctive. That is, for every group `G` and every finite alphabet `A`, every injective cellular automaton on `A^G` is surjective.	(G : Type) [Group G] :     IsSurjunctive G
S5-CLM-00005402	Toronto.DiscreteTopology.of_t2_of_torontoSpace	Any T2, Toronto space is discrete.	[T2Space X] [TorontoSpace X] :     DiscreteTopology X
S5-CLM-00005403	Transcendental.exp_add_pi_transcendental	$e + \pi$ is transcendental.	: Transcendental ℚ (exp 1 + π)
S5-CLM-00005404	Transcendental.exp_exp_transcendental	$e^e$ is transcendental.	: Transcendental ℚ (exp (exp 1))
S5-CLM-00005405	Transcendental.exp_mul_pi_transcendental	$e\pi$ is transcendental.	: Transcendental ℚ (exp 1 * π)
S5-CLM-00005406	Transcendental.exp_pow_pi_sq_transcendental	$e^{\pi^2}$ is transcendental.	: Transcendental ℚ (exp (π ^ 2))
S5-CLM-00005407	Transcendental.pi_pow_exp_transcendental	$\pi^e$ is transcendental.	: Transcendental ℚ (π ^ (exp 1))
S5-CLM-00005408	Transcendental.pi_pow_pi_pow_pi_pow_pi_not_integer	$\pi^{\pi^{\pi^\pi}}$ is not an integer.  This would follow from $\pi^{\pi^{\pi^\pi}}$ being transcendental, but this formulation is of interest in its own right, as it could in principle be proven by direct computation.  *Reference:* [YouTube](https://www.youtube.com/watch?v=BdHFLfv-ThQ)	: ¬ ∃ (n : ℤ), π ^ π ^ π ^ π = n
S5-CLM-00005409	Transcendental.pi_pow_pi_pow_pi_pow_pi_transcendental	$\pi^{\pi^{\pi^\pi}}$ is transcendental.	: Transcendental ℚ (π ^ (π ^ (π ^ π)))
S5-CLM-00005410	Transcendental.pi_pow_pi_pow_pi_transcendental	$\pi^{\pi^{\pi}}$ is transcendental.	: Transcendental ℚ (π ^ (π ^ π))
S5-CLM-00005411	Transcendental.pi_pow_pi_transcendental	$\pi^{\pi}$ is transcendental.	: Transcendental ℚ (π ^ π)
S5-CLM-00005412	Transcendental.pi_pow_sqrt_two_transcendental	$\pi^{\sqrt{2}}$ is transcendental.	: Transcendental ℚ (π ^ √2)
S5-CLM-00005413	Transcendental.rlog_pi_transcendental	$\log(\pi)$ is transcendental.	: Transcendental ℚ (log π)
S5-CLM-00005414	Transcendental.rlog_rlog_two_transcendental	$\log(\log(2))$ is transcendental.	: Transcendental ℚ ((2 : ℝ).log.log)
S5-CLM-00005415	Transcendental.sin_exp_transcendental	$\sin(e)$ is transcendental.	: Transcendental ℚ (Real.sin (exp 1))
S5-CLM-00005416	Transcendental.transcendental_catalanConstant	The Catalan constant $G$ is transcendental.	: Transcendental ℚ catalanConstant
S5-CLM-00005418	Transcendental.transcendental_gamma_one_div	$\Gamma(1/n)$ for `n ≥ 2` is transcendental.	(n : ℕ) (hn : 2 ≤ n) : Transcendental ℚ (1 / n : ℝ).Gamma
S5-CLM-00005423	Transcendental.transcendental_gompertzConstant	The Gompertz constant $\delta$ is transcendental.	: Transcendental ℚ gompertzConstant
S5-CLM-00005425	UnionClosed.union_closed	For every finite union-closed family of sets, other than the family containing only the empty set, there exists an element that belongs to at least half of the sets in the family.	[Nonempty n]     (h_ne_singleton_empty : A ≠ {∅})     (h_union_closed : IsUnionClosed A) :     ∃ i : n, (1 / 2 : ℚ) * #A ≤ #{x ∈ A | i ∈ x}
S5-CLM-00005426	UnionClosed.union_closed.variants.cardinality_even_of_union_closed_tight	If the UC conjecture is tight for some family `A` then $|A| = 2^k$ for some $k$.  Reference: Conjecture 3 in https://www.nieuwarchief.nl/serie5/pdf/naw5-2023-24-4-225.pdf.	[Nonempty n] (hA : A ≠ {∅} ∧ A ≠ ∅) (hA : IsUnionClosed A)     (UCC_tight : ∀ i, #{x ∈ A | i ∈ x} = (1 / 2 : ℝ) * #A) :     ∃ k, #A = 2 ^ k
S5-CLM-00005433	VaughtConjecture.vaught_conjecture	The Vaught conjecture states that for a countable language L and a complete L-Theory T the number of countable models of T (up to isomorphism) is finite, $\aleph_0$ or $2^{\aleph_0}$.	{L : FirstOrder.Language} (hL : Countable L.Symbols)                           {T : L.Theory} (hT : T.IsComplete) :   numberOfCountableModels T ≤ Cardinal.aleph0 ∨ numberOfCountableModels T = Cardinal.continuum
S5-CLM-00005434	WallSunSun.exists_isWallSunSunPrime	A prime $p$ is a Wall–Sun–Sun prime if and only if $L_p \equiv 1 \pmod{p^2}$, where $L_p$ is the $p$-th Lucas number. It is conjectured that there is at least one Wall–Sun–Sun prime.	: ∃ p, IsWallSunSunPrime p
S5-CLM-00005435	WallSunSun.infinite_isWallSunSunPrime	A prime $p$ is a Wall–Sun–Sun prime if and only if $L_p \equiv 1 \pmod{p^2}$, where $L_p$ is the $p$-th Lucas number. It is conjectured that there are infinitely many Wall-Sun-Sun primes.	: {p : ℕ | IsWallSunSunPrime p}.Infinite
S5-CLM-00005436	WallSunSun.infinite_isWallSunSunPrime_of_disc_eq	A Lucas–Wieferich prime associated with $(a,b)$ is an odd prime $p$, not dividing $a^2 - 4b$, such that $U_{p-\varepsilon}(a,b) \equiv 0 \pmod{p^2}$ where $U(a,b)$ is the Lucas sequence of the first kind and $\varepsilon$ is the Legendre symbol $\left({\tfrac {a^2-4b}{p}}\right)$. The discriminant of this number is the quantity $a^2 - 4b$. It is conjectured that there are infinitely many Lucas–Wieferich primes of any given non-one fundamental discriminant.  TODO: Source this conjecture	{D : ℤ} (hD : IsFundamentalDiscr D)     (hD₁ : D ≠ 1) :     {p : ℕ | ∃ a b, a ^ 2 - 4 * b = D ∧ IsLucasWieferichPrime a b p}.Infinite
S5-CLM-00005437	WolstenholmePrime.wolstenholme_prime_infinite	It is conjectured that there are infinitely many Wolstenholme primes.  *Reference:* [Wikipedia](https://en.wikipedia.org/wiki/Wolstenholme_prime#Expected_number_of_Wolstenholme_primes)	:     {p : ℕ | IsWolstenholmePrime p}.Infinite
S5-CLM-00005438	WoodallPrimes.infinitely_many_woodall_primes	There are infinitely many prime numbers of the form `k * 2 ^ k - 1` for `k > 1`.	: {k : ℕ | 1 < k ∧ (k * 2 ^ k - 1).Prime}.Infinite
S5-CLM-00005440	WrittenOnTheWallII.GraphConjecture160.conjecture160	WOWII [Conjecture 160](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$, $L_s(G) \ge \max_v l(v) + \max_v T(v) \cdot \chi_{C_4}(G)$ where:  - $L_s(G) = \mathrm{SimpleGraph.Ls}\, G$ is the maximum number of leaves over all   spanning trees of $G$, - $\max_v l(v)$ is the maximum local independence number over vertices, - $\max_v T(v)$ is the maximum number of triangles incident to any vertex, - $\chi_{C_4}(G)$ is `1` if $G$ has no cycle of length four and `0` otherwise.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     let maxL := (Finset.univ.image (indepNeighborsCard G)).max' (by simp)     let maxT := maxTrianglesAtVertex G     let cC4 : ℕ := if ∃ v : α, ∃ c : G.Walk v v, c.IsCycle ∧ c.length = 4 then 0 else 1     (maxL : ℝ) + (maxT : ℝ) * (cC4 : ℝ) ≤ Ls G
S5-CLM-00005442	WrittenOnTheWallII.GraphConjecture100.conjecture100	WOWII [Conjecture 100](http://cms.uhd.edu/faculty/delavinae/research/wowII/all.html#conj100) (status O):  For a simple connected graph `G`, `α(G) ≤ ⌈(max_v l(v) + 0.5 · diam(Gᶜ)) / 2⌉` where `α(G) = G.indepNum` is the independence number, `max_v l(v)` is the maximum over all vertices of the independence number of the neighbourhood (in `G`), and `diam(Gᶜ)` is the diameter of the complement `Gᶜ`.  **Note:** `length(Ḡ)` in DeLaVina's original is interpreted here as the diameter of the complement. The hypothesis `hGc : Gᶜ.Connected` is added so that `diam(Gᶜ)` is finite (otherwise `Gᶜ.ediam = ⊤` and `Gᶜ.ediam.toNat` collapses silently to `0`); see the module docstring above.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected)     (hGc : Gᶜ.Connected) :     let maxL := (Finset.univ.image (indepNeighborsCard G)).max' (by simp)     (G.indepNum : ℝ) ≤ ⌈((maxL : ℝ) + (1 / 2) * (degreeL2Norm Gᶜ : ℝ)) / 2⌉
S5-CLM-00005447	WrittenOnTheWallII.GraphConjecture133.conjecture133	WOWII [Conjecture 133](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/):  For a simple connected graph $G$, $\operatorname{path}(G) \ge \operatorname{rad}(G) + \lfloor \mathrm{avg}_v\, l(v) \rfloor^{cC_4(G)}$, where $\operatorname{path}(G)$ is the path number of the graph (number of vertices of a largest induced path), $\operatorname{rad}(G)$ is the radius (minimum eccentricity, as a natural number), $\mathrm{avg}_v\, l(v) = l(G)$ is the average independence number of vertex neighbourhoods, and $cC_4(G)$ is the $C_4$-free characteristic function (1 if $G$ is $C_4$-free, not necessarily induced, and 0 otherwise).  We read DeLaVina's bracket notation `[average of λ(v)]` in the source as the floor (a standard Graffiti.pc convention), hence `⌊l G⌋` in Lean.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     let rad := G.radius.toNat     let hasC4 := ∃ a b c d : α, a ≠ b ∧ a ≠ c ∧ a ≠ d ∧ b ≠ c ∧ b ≠ d ∧ c ≠ d ∧       G.Adj a b ∧ G.Adj b c ∧ G.Adj c d ∧ G.Adj d a     let cC4 : ℕ := if hasC4 then 0 else 1     (rad : ℝ) + (⌊l G⌋ : ℝ) ^ cC4 ≤ (path G : ℝ)
S5-CLM-00005448	WrittenOnTheWallII.GraphConjecture141.conjecture141	WOWII [Conjecture 141](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph `G`, `tree(G) ≥ ⌊girth(G) / 2⌋ - 1 + max_v l(v)` where `tree(G)` is the number of vertices of a largest induced tree subgraph, `girth(G)` is the length of the shortest cycle (0 if acyclic), and `l(v) = indepNeighbors G v` is the independence number of the neighbourhood of `v`.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     (G.girth / 2 : ℤ) - 1 + ((Finset.univ.sup (indepNeighborsCard G) : ℕ) : ℤ) ≤     (largestInducedTreeSize G : ℤ)
S5-CLM-00005449	WrittenOnTheWallII.GraphConjecture142.conjecture142	WOWII [Conjecture 142](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/):  For a simple connected graph $G$, $\mathrm{tree}(G) \ge (2/3) \cdot \mathrm{girth}(G) + \mathrm{ecc}(B)$ where $\mathrm{tree}(G)$ is the largest induced tree size, $\mathrm{girth}(G)$ is the length of the shortest cycle ($0$ if acyclic), $B$ is the set of boundary vertices (those of maximum eccentricity), and $\mathrm{ecc}(B)$ is the eccentricity of the set $B$.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected) :     let B : Set α := (maxEccentricityVertices G : Set α)     (2 : ℝ) / 3 * (G.girth : ℝ) + (eccSet G B : ℝ) ≤ (largestInducedTreeSize G : ℝ)
S5-CLM-00005452	WrittenOnTheWallII.GraphConjecture145.conjecture145	WOWII [Conjecture 145](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$, $\mathrm{tree}(G) \ge 2 \cdot \mathrm{ecc}(B) / \lambda_{\min}(\overline{G})$ where $\mathrm{tree}(G)$ is the number of vertices in a largest induced subtree, $\mathrm{ecc}(B)$ is the eccentricity of the boundary vertices (`eccSet` and `boundaryVertices`), and $\lambda_{\min}(\overline{G})$ is the minimum local independence number of the complement graph.  We state the inequality in the form $\mathrm{tree}(G) \cdot \mathrm{lMin}(\overline{G}) \ge 2 \cdot \mathrm{ecc}(B)$ to avoid division.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected)     (hlMin : 0 < localIndependenceMin Gᶜ) :     2 * eccSet G (maxEccentricityVertices G : Set α) ≤     largestInducedTreeSize G * localIndependenceMin Gᶜ
S5-CLM-00005453	WrittenOnTheWallII.GraphConjecture146.conjecture146	WOWII [Conjecture 146](http://cms.dt.uh.edu/faculty/delavinae/research/wowII/)  For a simple connected graph $G$, $\mathrm{tree}(G) \ge 2 \cdot \mathrm{ecc}(B) / \mathrm{rad}(G^2)$ where $\mathrm{tree}(G)$ is the number of vertices in a largest induced subtree, $\mathrm{ecc}(B)$ is the eccentricity of the boundary vertices of $G$ (`eccSet` and `maxEccentricityVertices`), and $\mathrm{rad}(G^2)$ is the radius of the square graph of $G$.  We state the inequality in the form $\mathrm{tree}(G) \cdot \mathrm{rad}(G^2) \ge 2 \cdot \mathrm{ecc}(B)$ to avoid division.	(G : SimpleGraph α) [DecidableRel G.Adj] (h : G.Connected)     (hrad : 0 < graphSquareRadius G) :     2 * eccSet G (maxEccentricityVertices G : Set α) ≤     largestInducedTreeSize G * graphSquareRadius G
