high	A000001	bcd76aa4	The number of groups satisfies a(i)a(j)<=a(ij) for all nonnegative i,j.	I conjecture that a(i) * a(j) <= a(i*j) for all nonnegative integers i and j.
low	A133058	050f7261	The recurrence is quasi-periodic exactly for R in {0,1,2,3}, with the stated loop behavior, and not for R>=4.	It is conjectured that quasi-periodic sequences exist only for R = 0, 1, 2 or 3 in a(n) = a(n-1) + n + R and that for R >= 4 the recurrence is not quasi-periodic. For R = 0, 1, 2 all starting values give a quasi-periodic sequence. The respective loop is (1, x) for R = 0, (1, x, 2x, 2) for R = 1 (this sequence), (1, x, 2x, x) or (2x, x) for R = 2. For R = 3 only some starting values converge to a 6-loop (4x+2, 2x+1, 3x+6, x+2, 2x+9, 3x+17). - _Ctibor O. Zizka_, Oct 27 2015
low	A133501	a2690485	Every integer converges to a fixed point under the map underlying A133501.	It is conjectured that every number converges to a fixed-point.
low	A137876	e64f4eef	Every nonnegative integer other than 2 occurs as a value of A137876.	I conjecture that all other values are possible
low	A145110	3fd34d30	A145110(11..30) equals (11,23,13,18,19,25,17,29,19,30,26,26,23,45,27,30,32,39,29,48).	a(11) to a(30) are conjectured to be 11, 23, 13, 18, 19, 25, 17, 29, 19, 30, 26, 26, 23, 45, 27, 30, 32, 39, 29, 48.
low	A160766	0d818c49	The next three indices where A094004 jumps by more than one are 68, 76, and 77.	The next three terms are conjectured to be 68, 76 and 77.
low	A171154	1f155a6a	The suffix R(n) in the A171154 construction equals 1 for infinitely many n.	It is conjectured that R(n)=1 for infinite many n.
low	A171154	75d93907	For every n, there exists a prime beginning with the concatenation of the first n primes in descending order.	Sequence is conjectured to be infinite.
low	A172470	41130be6	Every term of A172470 belongs to {9, 52, 61}.	The numbers in the sequence are conjectured to be restricted to 9,52, or 61.
low	A174349	4eb1b3e0	Every positive integer other than 1 occurs in the A174349 array.	It is conjectured that every positive integer except 1 occurs in the array.
low	A182205	c4e8637c	The A006368 trajectory starting at 40 never repeats.	Like for iterations with starting points 8 or 14, it is conjectured that also this trajectory never repeats.
low	A183240	262cb599	Every term of A183241 is an integer.	A183241 is conjectured to consist entirely of integers.
low	A186263	105c18e1	A186263: We conjecture that a(n) is asymptotic to c*11^n with c>0.	We conjecture that a(n) is asymptotic to c*11^n with c>0.
low	A196697,A196698	3045c128	Each of A196697 and A196698 has infinitely many zero terms.	I conjecture the contrary: infinitely many elements of this sequence are equal to 0.
low	A211417	e1754b68	For each r, one constant D(r) clears the indicated factors 30n-i from all A211417(n).	More generally, for r >= 1, we conjecture that there exists a constant D(r) such that D(r)*a(n)/Product_{i = 1..r, i coprime to 30} (30*n - i) is integral for all n.
low	A211419	7c8982e5	For every r, constants C(r) and D(r) make the two stated normalized A211419 expressions integral for all n.	More generally, we conjecture that there are constants C(r) and D(r), r >= 1, such that a(n) * C(r)/((n + 1)*(n + 2)*...*(n + r)) and a(n) * D(r)/((4*n + 1)*(4*n + 3)*...*(4*n + 2*r - 1)) are integers for all n.
low	A211420	3bf9a439	For every r, one constant K(r) clears the indicated descending odd linear factors from all A211420(n).	More generally, we conjecture that there are constants K(r), r >= 0,  such that a(n) * K(r)/((8*n - 1)*(8*n - 3)*...*(8*n - (2*r+1))) is an integer for all n.
low	A211420	db703dae	For k in {1,2,3} and every r, a constant C(k,r) clears the indicated rising factors from all A211420(n).	More generally, we conjecture that there are constants C(k, r), k = 1, 2 or 3, r >= 1,  such that a(n) * C(k, r)/((k*n + 1)*(k*n + 2)*...*(k*n + r)) is an integer for all n.
low	A213900	86018939	The fixed points of A213900 are exactly the terms of A000057.	If we consider the fixed points such that a(n)=n, we conjecture to obtain the sequence A000057.
low	A220365	26672a42	A220365(n) is the maximum k such that k divides the digit sum of n^k.	a(n) is conjectured to be the largest power k for which k divides the sum of digits of n^k.
low	A228552	d61e34d1	A228552(n)>0 for every n>15.	We conjecture that a(n) > 0 for all n > 15.
low	A231725	88d8ac51	A231725 equals zero for infinitely many n.	I conjecture the opposite. In particular I expect that a(n) = 0 for infinitely many values of n.
low	A236243	138b145d	A236243 is conjectured to contain each natural number exactly once.	The terms of this sequence are conjectured to be a permutation of the natural numbers.
low	A242514	dc99b59d	For n>5, A242514(n) equals A242512 at ceiling(2(n+1)/3), so their distinct terms coincide.	For n > 5 the distinct terms of this sequence are conjectured to be identical to A242512: precisely, A242514(n) = A242512(ceiling(2*(n+1)/3)).
low	A243977	ec69be25	A243977(53), A243977(71), and A243977(77) have no finite bound.	a(53), a(71) and a(77) are conjectured to be infinite.
low	A247047	83733db1	Only 6, 8, and 15 have respectively 2, 3, and 4 distinct digits in their square, cube, and fourth power.	The numbers k such that k^2 contains 2 distinct digits, k^3 contains 3 distinct digits, and k^4 contains 4 distinct digits are conjectured to only be 6, 8, and 15.
low	A247225	a3c42efe	For all n, a(3n-1) is even while a(3n) and a(3n-2) are odd.	I conjecture that this is true for all positive integers n.
low	A248007	117732a7	Only finitely many n satisfy A248007(n)>n.	Numbers n for which a(n) > n: 10, 12, 22, 26, 42, 78, 166, 266, 290. The next term in this mini-sequence, if it exists, is greater than 3*10^4. I conjecture this list is finite. - _Derek Orr_, Sep 29 2014
low	A249129	8dabf6a2	The sequence A249129 is asymptotic to the identity function.	I conjecture that a(n) ~ n.
low	A251964	f73043b6	The least exponent k_1(p) at which the odd part of the digit sum of p^k is divisible by 5 exists for every prime p.	Let p be a prime other than 3. If p is not in the sequence, then either s(p,k_1) >= 25 or k_1 does not exist. We conjecture that k_1=k_1(p) exists for every prime p.
low	A252486	d61ae69c	Every term of A252486 is at most its initial value, 64.	I conjecture that the sequence is bounded by the initial term.
low	A253646	38e781a3	Both A253646 and A253647 contain only finitely many primes.	Primes in A253647; both sequences are conjectured to be finite.
low	A253897	33eb09be	For each listed starting value n, the seeded A127644 iteration is a permutation of the natural numbers.	Numbers n such that the sequence A127644 with a(1) = n is conjectured to give a permutation of the natural numbers.
low	A254077	438614f9	For every n>4, the least positive integer absent from A254077(1..n) is prime.	Conjecture. For any n > 4, the lowest value x missing from a(1) thru a(n) is prime.
low	A254337	8524efc4	A254337 contains every even integer greater than 2 and contains no odd integer other than 1.	I conjecture that the sequence contains all even numbers > 2 and no odd number beyond 1.
low	A257340	6d5200a2	Every positive integer appears in A257340.	It is conjectured that every number appears.
low	A258105	7db07084	The sequence b with b(1)=1 and b(n)=A257906(n) for n>1 is a permutation of the natural numbers.	Inverse to sequence defined as {b(1) = 1, and for n>1: b(n) = A257906(n)}, which is conjectured to be a permutation of natural numbers.
low	A258333	cac22741	As k grows, the number of primitive weird numbers 2^k p q with p the next prime after 2^(k+1) increases.	I conjecture that there is an increasing number of pwn with, e.g., p=nextprime(2^(k+1)).
low	A261301	a6ff53e9	Whenever A261301(n) is zero, n is prime.	It is conjectured that a(n) = 0 implies that n is prime, see A186253. (This is the sequence {u(n)} mentioned there.)
low	A261310	5c79ae4c	For every n, A261310(n)=0 implies that A261310(n+1)=10n+9 is prime.	It is conjectured that for all n, a(n) = 0 implies that a(n+1) = 10n+9 is prime, cf. A186263.
low	A261314	0f0357c3	The A073846 orbit R#(34) is nonperiodic and contains infinitely many distinct values.	Hence, its period is either extremely large or nonexistent (infinite). I conjecture that the latter is the case.
low	A262332	c4d58955	In the stated asymptotic for T(m,k), the bulk and boundary growth constants are exactly 2 and 1/3.	We conjecture that c1 = 2, c2 = 1/3; In other words, for sufficiently large m, k, the effect of restrictions on T(m,k) is almost "independent" of each other in the horizontal and vertical directions.
low	A263267	cb9b4260	The terms of A259934 form the unique infinite path in the A263267 tree.	It is conjectured that the terms of A259934 trace the only infinite path in this tree.
low	A268317	69a3f429	The row-sum sequence of each of A268317 and A268318 is A000071.	(iii) The row sum of each of these irregular triangles is conjectured to be A000071.
low	A268317,A268318	8a96360d	The first differences of the half-void counts for A268317 and A268318 equal A191797.	(iv) The first differences of the sequence of half of the voids (0's) are conjectured to give A191797.
low	A269230	c11ff1a2	For every relevant n in A269230, the middle nonzero digit position k is strictly less than n+1.	I conjecture that k < n+1 for all n (where k is function of n, of course).
low	A269230	d0590ae9	Apart from its initial value 2, every term of A037053 has exactly three nonzero decimal digits in the stated positions.	It is conjectured that, apart from A037053(0) = 2, all other terms have three nonzero digits and are therefore of the form A037053(n) = a*10^(n+2) + b*10^k + c, where 1 <= a,b,c <= 9 and 1 <= k <= n+1.
low	A269361	4521e355	The injective greedy sequence A269361 is conjectured to enumerate exactly the values of A091072.	The sequence is conjectured to be a permutation of A091072.
low	A269363	54f8d748	The injective greedy sequence A269363 is conjectured to enumerate exactly the values of A091067.	The sequence is conjectured to be a permutation of A091067.
low	A269526	27a698d3	Every column of the array is conjectured to have an eventual cyclic difference pattern analogous to the first columns.	I conjecture that other similar cyclical difference patterns should hold for any column k (i.e., terms a((j^2+j+2*k)/2), j>=k-1), so that each column is a permutation.
low	A278743	177844f8	For each base n>1, the carry-free sequence c_n is eventually self-similar with shift a(n) and multiplier n^b.	More precisely, we conjecture that, for any n>1, there are two constants k0 and b such that c_n(k + a(n)) = c_n(k)*n^b for any k>k0. [Corrected by _Rémy Sigrist_, Dec 24 2016]
low	A278832	7642c9c9	Except at plies where every maximizing black position forces a capture, each even-indexed maximum equals the preceding odd-indexed maximum.	I conjecture that, unless Black is forced to capture a white piece in all of the maximizing positions, every other term will be equal to the preceding one, a(2n) = a(2n-1).
low	A280745	116bcbe7	Whenever a naked prime ends a block in A280864, the preceding term is twice that prime.	It is not difficult to show (see A280864) that when a prime appears "naked" in A280864, it either begins a block, in which case the next term is 2*p, or it ends a block. In the latter case we conjecture that the previous term in A280864 is 2*p. This is true for the first 10^7 terms of A280864.
low	A289329	207d9954	Every coefficient of every polynomial p_n(x) defining A289329 is a positive integer.	The coefficients are conjectured to be positive integers.
low	A292114	e19e1f49	The proportion of even terms among A292114 tends to one.	I conjecture that almost all terms are even.
low	A293142	244e5be1	The listed A293142 values are the largest nonrepunit circular primes in bases 3, 4, 5, and 6.	Since this is much shorter than 12 digits, it is conjectured that the terms are the maximal circular primes for those bases.
low	A295431	6c25557d	For each r, one constant D(r) clears the indicated factors 12n-i from all A295431(n).	More generally, for r >= 1, we conjecture that there exists a constant D(r) such that D(r)*a(n)/Product_{i = 1..r, i coprime to 12} (12*n - i) is integral for all n.
low	A305931	1d189402	Exactly 23 powers of 3 contain no decimal zero, and the largest is 3^68.	The complement A238939 is conjectured to have only 23 elements, the largest being 3^68.
low	A306559	71b58b16	In A306559, 1 has limiting frequency 2/3 and 0 has limiting frequency 1/3.	The proportions of ONEs and ZEROs are conjectured to be 2/3 and 1/3.
low	A306559	ffa5c6fe	A306559 grows indefinitely and never enters a loop.	Jean-Marc Falcoz has computed 100000 terms and found no place where the sequence enters into a loop. It is conjectured that the sequence will grow infinitely without ever entering into such a loop.
low	A322049	fd2a4ad2	The ratio A322049(n)/n is unbounded.	We conjecture that this ratio is unbounded.
low	A327969	ce7b2667	Some natural numbers cannot reach zero under any sequence of the two allowed transitions.	For all of the above reasons, I now conjecture that there are natural numbers from which it is not possible to reach zero with any combination of steps.
low	A329126	37679b11	The smallest trans-basic multiple of n contains exactly n digits equal to 1.	The number of 1's in a(n) is conjectured to be n.
low	A329126	a584ff86	For every prime n, A329126(n) has exactly 2+(n-1)^2 binary digits when counted as zeros and ones.	in general for every prime n the corresponding a(n) is conjectured to contain 2+(n-1)^2 0's and 1's.
low	A331921,A364917	0ec23356	The two displayed iterated-automorphism chains starting from C_344/C_392/C_516/C_588 and C_1033/C_2066 are correct and stabilize at their displayed terminal groups.	The following two sequences are conjectured to be correct and to stabilize at the last term:
low	A332215	aa95567a	The map's only fixed points are the already identified powers of two times Mersenne primes.	Furthermore, I conjecture that there are no other fixed points.
low	A332989	404737f8	There are numbers representable in arbitrarily many distinct ways as sums of two distinct nonzero pentagonal numbers.	I conjecture this sequence is infinite.
low	A334168	b61a7cc7	The final nonzero digits of A334168 form A059545.	The last nonzero digits of the terms are conjectured to be the Beatty sequence for log(10), A059545.
low	A336957	3d2f386d	From index 755 onward in A336957, every new prime p is introduced by 2*p and the terms 2*p occur in prime order.	Combining the above observations, we conjecture that for n >= 755 (at which point we have seen all the primes <= 367), every prime p is introduced by 2*p, and the terms 2*p appear in their natural order.
low	A336957	8361a3c2	The listed inversions (7,5), (31,29), and (109,113,107) are the only departures from increasing order among the terms 2p in A336957.	We conjecture that these are the only exceptions.
low	A351413	018a1a35	The maximum number of stable matchings in a Latin instance of order 8 is 268.	The next term, a(8), is conjectured to be 268, consistent with A005154.
low	A351495	15cb25bb	Every positive integer is conjectured to appear exactly once in A351495.	The sequence is conjectured to be a permutation of the positive integers.
low	A352763	f92aac1f	A352763 contains every positive integer exactly once.	the sequence is conjectured to be a permutation of the positive integers.
low	A353989	ceb4482f	A353989 contains every positive integer exactly once.	the sequence is conjectured to be a permutation of the positive integers.
low	A354087	ae6bcab2	A354087 contains every positive integer exactly once.	the sequence is conjectured to be a permutation of the positive integers.
low	A354434	8f963a85	Every positive integer is conjectured eventually to occur in A354434.	The sequence is conjectured to be a permutation of the positive integers, although it takes many terms for most primes to appear, e.g. a(1807) = 13, a(35156) = 179.
low	A354687	c8901a87	A354687 contains every positive integer exactly once.	The sequence is conjectured to be a permutation of the positive integers.
low	A354688	eb136333	A354688 is a permutation of the positive integers.	The sequence is conjectured to be a permutation of the positive integers.
low	A354727	3718b295	A354727 contains every positive integer exactly once.	The sequence is conjectured to be a permutation of the positive integers.
low	A354960	deb5c5c2	Every positive integer is conjectured eventually to occur in A354960, despite very delayed primes.	The sequence is conjectured to be a permutation of the positive integers although it may take an extremely large number of terms for the primes to appear; e.g., 263 has not occurred after 500000 terms.
low	A356430	70e6ff22	A356430 is conjectured to permute the positive integers and likely has only the fixed points 1, 2, and 9.	The sequence is conjectured to be a permutation of the positive integers although it may take a large number of terms for the primes to appear, e.g., 19 has not occurred after 100000 terms. In the same range the only fixed points are 1, 2, and 9, and it is likely no more exist.
low	A356851	73add4b5	A356851 contains every positive integer exactly once.	The sequence is conjectured to be a permutation of the positive integers.
low	A357082	f0fe37ab	A357082 contains every positive integer exactly once.	The sequence is conjectured to be a permutation of the positive integers.
low	A358048	3ff10227	Every nonnegative integer is conjectured to occur exactly once in A358048.	The sequence is conjectured to be a permutation of the nonnegative integers.
low	A361087	8e0c9fe2	The next two unknown A361087 values are 59 and 203.	The next two terms are conjectured to be 59 and 203 (distinct from sequences already in the OEIS).
low	A363409	64a7e897	A363409: We conjecture that the set of type 3 primes begins {7, 37, 79, 103, ...}.	We conjecture that the set of type 3 primes begins {7, 37, 79, 103, ...}.
low	A363409	ecbdc118	A363409: We conjecture that the set of type 1 primes begins {2, 5, 13, 23, 29, 31, 47, 53, 61, 71, 101, ...}.	We conjecture that the set of type 1 primes begins {2, 5, 13, 23, 29, 31, 47, 53, 61, 71, 101, ...}.
low	A372060	d886aa18	A252867 and A372060 are inverse permutations of the nonnegative integers.	Both A252867 and this sequence are conjectured to be permutations of the nonnegative integers, in which case they are inverses of each other.
low	A372078	230d4209	For every prime p from the 38th onward, A373390 contains consecutive terms 2*p, x, p.	The conjecture is that for the 38th and all later primes p, in A373390 there are three successive terms 2*p, x, p.
low	A375563	15a2c0c6	Every positive integer is conjectured to occur exactly once in A375563.	The sequence is conjectured to be a permutation of the positive integers.
low	A377092	9d914221	Every integer appears in the Fibonacci-difference greedy sequence A377092.	I conjecture that the answer is Yes.
low	A379248	fd37a287	Every positive integer is conjectured to occur exactly once in A379248.	The sequence is conjectured to be a permutation of the positive integers.
low	A384222	a005ff85	The row lengths of triangle A384149 equal A237271.	A384149(n,k) is the sum of the terms in the k-th sublist of divisors of n. In the comments of A384149 it is conjectured that the row lengths of that triangle give A237271.
low	A384336	e4b98154	In A384336, every value other than 1 and 2 occurs infinitely often.	1 appears 3 times and 2 appears 2 times, all other numbers are conjectured to appear infinitely many times.
low	A386482	eb76d15f	Every positive integer appears in A386482.	It is conjectured that every positive number appears.
low	A387231	2216172b	A387231 contains every positive integer exactly once.	The sequence is conjectured to be a permutation of the positive integers.
medium	A000040	856f07b3	Every positive rational is a finite sum of reciprocals 1/(p+1) of distinct listed primes.	I also conjecture that for any positive rational number r there are finitely many primes p_1,...,p_k such that r = Sum_{j=1..k} 1/(p_j+1).
medium	A000040	cdf1b230	Every positive rational is a finite sum of reciprocals 1/(q-1) of distinct listed primes.	I conjecture that for any positive rational number r there are finitely many primes q_1,...,q_k such that r = Sum_{j=1..k} 1/(q_j-1).
medium	A000670,A004123,A167137,A305550,A354242	79f8bb44	Every integral sequence with exponential generating function G(exp(x)-1) is eventually periodic modulo k with period dividing phi(k).	More generally, we conjecture that the same property holds for integer sequences having an e.g.f. of the form G(exp(x) - 1), where G(x) is an integral power series. (End)
medium	A000984	249bfda5	Only finitely many central binomial coefficients avoid divisibility by all of 3, 5, 7, and 11.	it is conjectured that there are only finitely many indices n such that C_n is not divisible by any of 3, 5, 7 and 11.
medium	A001146	185557d9	The values 2^(2^m) for m>1 are exactly the integers n with n^4-1 dividing 2^n-1 in the stated intersection.	I conjecture that { a(n) ; n>1 } are the numbers such that n^4-1 divides 2^n-1, intersection of A247219 and A247165.
medium	A001359	95b6c296	For every n, A113910(n+4) equals A001359(n+2).	It is conjectured that A113910(n+4) = a(n+2) for all n. - _Creighton Dement_, Jan 15 2009
medium	A001359	cfaa5644	Every odd exponent n at least 15 has a positive coefficient in the fifth power of the generating series for lesser twin primes.	I would like to conjecture that if f(x) is a series whose terms are x^n, where n represents the terms of sequence A001359, and if we inspect {f(x)}^5, the conjecture is that every term of the expansion, say a_n * x^n, where n is odd and at least equal to 15, has a_n >= 1.
medium	A002003	7e45e1ea	Every subsequence a(mn) obeys the stated three-term polynomial recurrence of degree 2m.	For fixed m = 1,2,3,..., we conjecture that the sequence b(n) := a(m*n) satisfies a recurrence of the form P(2*m,n)*b(n+1) + P(2*m,-n)*b(n-1) = Q(2*m,n)*b(n), where the polynomials P(2*m,n) and Q(2*m,n) have degree 2*m.
medium	A002387	6127d4ff	For n>1, A002387(n) is the nearest integer to exp(n-gamma).	It is conjectured that, for n > 1, a(n) = floor(exp(n-gamma) + 1/2). - _Benoit Cloitre_, Oct 23 2002
medium	A002981	b6e9fc2e	No consecutive integers n,n+1 above 2 both yield factorial primes n!+1 and (n+1)!+1.	we can conjecture that for n > 2 if n! + 1 is prime then (n+1)! + 1 is not prime.
medium	A003001	ffd01d00	For every persistence value other than 2, only finitely many decimal digit-product class representatives have that persistence.	For any multiplicative persistence, except multiplicative persistence 2, the set of class representative numbers with that multiplicative persistence is conjectured to be finite.
medium	A003135	0773a3e5	The OEIS list of factorials that are nontrivial products of smaller factorials is complete.	n! is a nontrivial product of factorials. It is conjectured that the list is complete.
medium	A003277	c6290207	Every odd cyclic number divides at least one Carmichael number.	G. P. Michon conjectured (c. 1980) that any odd cyclic number has at least one Carmichael multiple (if the conjecture is true, each of them has infinitely many such multiples).
medium	A003313	5efe1f1f	The shortest addition-chain length of n is at least floor(log2 n) plus ceiling(log2 of the binary digit sum of n).	It is conjectured by D. E. Knuth, K. Stolarsky et al. that for all n: floor(log_2(n)) + ceiling(log_2(v(n))) <= a(n), where v(n) = A000120(n).
medium	A003325	419c99e1	A003325 and A052276 have infinitely many common terms.	It is conjectured that this sequence and A052276 have infinitely many numbers in common, although only one example (128) is known. [Any further examples are greater than 5 million. - _Charles R Greathouse IV_, Apr 12 2020] [Any further example is greater than 10^12. - _M. F. Hasler_, Jan 10 2021]
medium	A003327	7d8bfd08	Every integer greater than 7373170279850 belongs to A003327.	It is conjectured that every number greater than 7373170279850 is in this sequence. [See the paper of the same name. - _T. D. Noe_, May 25 2017] - _Charles R Greathouse IV_, Jan 14 2017
medium	A003679	47b60135	33066 is the largest integer not expressible as a sum of three pentagonal numbers.	The last term is conjectured to be 33066.
medium	A003961	ca742b02	For every r at least 1, the least omitted odd value among a(i) for i below prime(r) is prime(r+1).	Meyers (see Guy reference) conjectures that for all r >= 1, the least odd number not in the set {a(i): i < prime(r)} is prime(r+1). - _N. J. A. Sloane_, Jan 08 2021
medium	A004000	0e6b1dd4	Every RATS orbit eventually enters A004000 or a finite cycle.	It is conjectured that no matter what the starting term is, repeatedly applying RATS leads either to this sequence or into a cycle of finite length, such as those in A066710 and A066711.
medium	A005097	ec649665	Perfect error-correcting Lee codes over Z of word length n exist whenever 2n+1 is prime.	Perfect error-correcting Lee codes of word length n over Z: it is conjectured that these always exist when 2n+1 is a prime, as mentioned in Horak. - _Jonathan Vos Post_, Sep 19 2011
medium	A005384	7cece3b8	Every finite consecutive block of A005384 becomes a prime base-b numeral for infinitely many bases b larger than its digits.	In the spirit of the conjecture related to A217788, we conjecture that for any integers n >= m > 0 there are infinitely many integers b > a(n) such that the number Sum_{k=m..n} a(k)*b^(n-k) is prime.
medium	A006165	8927cc4e	A006165: We conjecture that the repeated values of the sequence are of the form (2^k - 1)*2^m. The number of repeated values appears to always be 2, 3, 5, 9, 17, 35, ..., independent of k, conjecturally A000051.	We conjecture that the repeated values of the sequence are of the form (2^k - 1)*2^m. The number of repeated values appears to always be 2, 3, 5, 9, 17, 35, ..., independent of k, conjecturally A000051.
medium	A006231	2a3bdda1	The semialgebraic dimension of the realizable random-ordering distributions P_n equals A006231(n).	Let P_n be the set of probability distributions over orderings of n objects that can be obtained by drawing n real numbers from independent probability distributions and sorting. Then a(n) is conjectured to be the dimension of P_n, as a semi-algebraic subset of R^(n!). - _Jamie Tucker-Foltz_, Jul 29 2024
medium	A006450	acaf5756	Successive nth roots of the prime-indexed primes strictly decrease.	I conjecture that the sequence a(n)^(1/n) (n = 1,2,3,...) is strictly decreasing.
medium	A006946	a671d99f	The two published upper bounds for the independence number of the binary de Bruijn graph are equalities for every n.	Proposition 4.3 (b) in Lichiardopol's paper (see links) can be formulated as a(n) <= 2^(n-1) - A000031(n)/2 + 1 for odd n. For even n, Proposition 5.4 says that a(n) <= (a(n+1) + 1)/2 <= 2^(n-1) - A000031(n+1)/4 + 1. For n<=13, equality holds in both cases, and I conjecture that it holds for all n.
medium	A007366	140ff740	For every A007366 value, the two inverse-totient solutions are conjectured to be m and 2m with m odd.	It is conjectured that the larger solution is 2*A271983(n); or equivalently, all terms in A271983 are odd.
medium	A007531	c2a990e7	The only positive solutions of n^3-n=k! have n in {2,3,5,9} with k in {3,4,5,6} respectively.	_Ed Pegg Jr_ conjectures that n^3 - n = k! has a solution if and only if n is 2, 3, 5 or 9 (when k is 3, 4, 5 and 6).
medium	A007691	5237bdff	There are infinitely many multiply-perfect numbers n with n dividing sigma(n).	Luca's solution of problem 11090, which proves that for k>1 there are an infinite number of n such that n divides sigma_k(n), does not apply to this sequence. However, it is conjectured that this sequence is also infinite. - _T. D. Noe_, Nov 04 2007
medium	A007770	360a4b23	There are infinitely many prime happy numbers.	It is conjectured that the sequence includes an infinite number of primes (see A035497).
medium	A008978	50a18e63	Both coefficient sequences u and v satisfy the stated p^(3k) congruences for all p>=5 and positive m,k.	We conjecture that the supercongruences u(m*p^k) == u(m*p^(k-1)) ( mod p^(3*k) ) and v(m*p^k) == v(m*p^(k-1)) ( mod p^(3*k) ) hold for all primes p >= 5 and positive integers m and k.
medium	A013936	8525eecd	The optimal error exponent in the asymptotic expansion of A013936 is 1/4 plus arbitrarily small epsilon.	In fact we have: a(n) = zeta(2)*n+zeta(1/2)*n^(1/2)+O(n^theta) with theta<1/2 and we conjecture that theta=1/4+epsilon is the best possible choice.
medium	A013937	bd2235b2	The optimal error exponent for Sum_{k<=n} floor(n/k^3) is 1/4+epsilon.	a(n) = a(n-1)+A061704(n). a(n) = Sum_{k=1..n} floor((n/k)^(1/3)) with asymptotic formula: a(n) = zeta(3)*n+zeta(1/3)*n^(1/3)+O(n^theta) where theta<1/3 and we conjecture that theta=1/4+epsilon is the best possible choice.
medium	A015762	175dfd69	For every x in A015762 and every j>=0, phi(x) divides sigma_(8j+4)(x).	sigma_{8j+4}(x)/phi(x) is an integer for j=0..500, x=1,2,3,6,249,498, and this is conjectured to hold for possible larger terms of A015762 and all j. Compare with comments to A015759, A091285, A015770. - _Labos Elemer_, May 27 2004
medium	A015910	b8ea0242	A015910: This sequence is conjectured to include every integer k >= 0 except k = 1.	This sequence is conjectured to include every integer k >= 0 except k = 1.
medium	A016742	e16be15d	A regular Hadamard matrix of order n exists if and only if n is an even square.	It is conjectured (I think) that a regular Hadamard matrix of order n exists iff n is an even square (cf. Seberry and Yamada, Th. 10.11). A Hadamard matrix is regular if the sum of the entries in each row is the same. - _N. J. A. Sloane_, Nov 13 2008
medium	A023037	7dee7ce0	For every prime n, (n^n-1)/(n-1) is exactly the Bell-number period modulo n.	For prime n, a(n) is conjectured to be the period of Bell numbers (mod n).
medium	A023873,A283271	57f5b139	For each generating function in A023873 and A283271 and every integer m, the derived coefficients satisfy the stated supercongruences for primes p>=7.	Let A(x) denote the g.f. and let m be an integer. Define a sequence by u(n) = [x^n] A(x)^(m*n). We conjecture that the supercongruence u(n*p^r) == u(n*p^(r-1)) (mod p^(3*r)) holds for all positive integers n and r and all primes p >= 7. Cf. A380581. - _Peter Bala_, Jan 21 2025
medium	A024356	729c7a2e	All prime Hankel determinants A024356(n) are nonzero except at n=4.	I conjecture that a(4) is the only zero.
medium	A027687	c4ea2ed1	There are only finitely many 4-perfect numbers.	It is conjectured that there are only finitely many terms. - _N. J. A. Sloane_, Jul 22 2012
medium	A027697	07191a60	For n!=2, the n-th odious prime is below the n-th evil prime, and their gap tends to infinity.	Conjecture: a(n) < A027699(n) except for n = 2; verified up to n=5*10^7. Moreover, I conjecture that A027699(n) - a(n) tends to infinity.
medium	A027699	91692360	The counting-function difference pi_odious(m)-pi_evil(m) tends to infinity.	Moreover I conjecture that pi_2(m)-pi_1(m) tends to infinity with records at the primes m=2, 13, 41, 61, 67, 79, 109, 131, 137, ...
medium	A028393	1f1eb3ad	The trajectory obtained by iterating A006368 from 8 never repeats.	It is conjectured that this trajectory never repeats, but no proof of this has been found. - _N. J. A. Sloane_, Jul 14 2009
medium	A028870,A066049,A066436	9407ac20	Each polynomial-prime sequence represented by A028870, A066049, and A066436 is infinite.	It is conjectured that this sequence is infinite.
medium	A033810	331819fd	The displayed ceiling expansion equals the birthday-threshold value A033810(n) for every n.	a(n) = ceiling(sqrt(2*n*log(2)) + (3 - 2*log(2))/6 + (9 - 4*log(2)^2) / (72*sqrt(2*n*log(2))) - 2*log(2)^2/(135*n)) for all n up to 10^18. It is conjectured that this formula holds for all n.
medium	A034171	49e74092	A034171: Working with an offset of 1, we conjecture a(p*n) = a(n) (mod p^2) for prime p = 1 (mod 3) and all positive integers n except those n of the form n = m*p + k for 0 <= m <= (p-1)/3 and 1 <= k <= (p-1)/3.	Working with an offset of 1, we conjecture a(p*n) = a(n) (mod p^2) for prime p = 1 (mod 3) and all positive integers n except those n of the form n = m*p + k for 0 <= m <= (p-1)/3 and 1 <= k <= (p-1)/3.
medium	A034693	0b822691	The ratio a(n)/(log n log log n) for A034693 is unbounded.	I conjecture the opposite: a(n) / (log n log log n) is unbounded.
medium	A034878	aa3c8280	A034878 and A001013 have the same members except for 2, 9, and 10.	Except for the numbers 2, 9 and 10 this sequence is conjectured to be the same as A001013.
medium	A037071	64aa221f	A037071: We conjecture that for all n >= 0, a(n) equals [10^(n+1)/9]*9 with one of the (first) digits 9 replaced by a digit among {1, 2, 4, 5, 7, 8}.	We conjecture that for all n >= 0, a(n) equals [10^(n+1)/9]*9 with one of the (first) digits 9 replaced by a digit among {1, 2, 4, 5, 7, 8}.
medium	A038458	4ffa4f0e	The real solution of 127^x - 113^x = 1 represented by A038458 is irrational.	I conjecture it is irrational.
medium	A048161	99600a19	There are infinitely many primes p for which (p^2+1)/2 is also prime.	It is conjectured that there are an infinite number of such triangles.
